adapter_id	source	model_name	task	subtask
@mapmeld/bert-base-arabert-ar-dialect	ah	aubmindlab/bert-base-arabert	dialect	arabic
@lohfink-rossi/facebook-bart-large_qa_squad2_lohfink-rossi-leaveout	ah	facebook/bart-large	qa	squad2
@ukp/distilbert-base-uncased_nli_multinli_houlsby	ah	distilbert-base-uncased	nli	multinli
@ukp/bert-base-uncased-scitail_pfeiffer	ah	bert-base-uncased	nli	scitail
@ukp/xlm-roberta-base-ar-wiki_pfeiffer	ah	xlm-roberta-base	ar	wiki
@ukp/xlm-roberta-base-th-wiki_pfeiffer	ah	xlm-roberta-base	th	wiki
@ukp/bert-base-multilingual-cased_am_wiki_pfeiffer	ah	bert-base-multilingual-cased	am	wiki
@ukp/bert-base-multilingual-cased-qu-wiki_pfeiffer_relu	ah	bert-base-multilingual-cased	qu	wiki
@ukp/bert-base-multilingual-cased_hy_wiki_pfeiffer	ah	bert-base-multilingual-cased	hy	wiki
@ukp/bert-base-multilingual-cased-de-wiki_pfeiffer	ah	bert-base-multilingual-cased	de	wiki
@ukp/bert-base-multilingual-cased_bxr_wiki_pfeiffer	ah	bert-base-multilingual-cased	bxr	wiki
@ukp/xlm-roberta-base-cdo-wiki_pfeiffer	ah	xlm-roberta-base	cdo	wiki
@ukp/facebook-bart-base_nli_multinli_houlsby	ah	facebook/bart-base	nli	multinli
@ukp/roberta-large-multinli_pfeiffer	ah	roberta-large	nli	multinli
@ukp/roberta-large-qnli_pfeiffer	ah	roberta-large	nli	qnli
@ukp/bert-base-multilingual-cased_wiki_id_pfeiffer	ah	bert-base-multilingual-cased	id	wiki
@ukp/bert-base-multilingual-cased-gn-wiki_houlsby	ah	bert-base-multilingual-cased	gn	wiki
@ukp/gpt2_sentiment_sst-2_houlsby	ah	gpt2	sentiment 	sst-2
@ukp/facebook-bart-base_nli_rte_houlsby	ah	facebook/bart-base	nli	rte
@ukp/bert-base-uncased_sentiment_sst-2_houlsby	ah	bert-base-uncased	sentiment	sst-2
@ukp/bert-base-uncased-boolq_pfeiffer	ah	bert-base-uncased	qa	boolq
@ukp/bert-base-uncased_qa_squad1_pfeiffer	ah	bert-base-uncased	qa	squad1
@ukp/bert-base-multilingual-cased-de-wiki_houlsby	ah	bert-base-multilingual-cased	de	wiki
@ukp/roberta-large-sts_b_pfeiffer	ah	roberta-large	sts	sts-b
@ukp/bert-base-multilingual-cased_ka_wiki_pfeiffer	ah	bert-base-multilingual-cased	ka	wiki
@ukp/facebook-bart-base_lingaccept_cola_houlsby	ah	facebook/bart-base	lingaccept	cola
@ukp/bert-base-uncased-imdb_pfeiffer	ah	bert-base-uncased	sentiment	imdb
@ukp/xlm-roberta-base-ilo-wiki_pfeiffer	ah	xlm-roberta-base	ilo	wiki
@ukp/bert-base-multilingual-cased-cdo-wiki_houlsby	ah	bert-base-multilingual-cased	cdo	wiki
@ukp/facebook-bart-large_sum_xsum_houlsby	ah	facebook/bart-large	sum	xsum
@ukp/distilbert-base-uncased_lingaccept_cola_houlsby	ah	distilbert-base-uncased	lingaccept	cola
@ukp/bert-base-multilingual-cased-tk-wiki_pfeiffer_relu	ah	bert-base-multilingual-cased	tk	wiki
@ukp/distilbert-base-uncased_nli_rte_pfeiffer	ah	distilbert-base-uncased	nli	rte
@ukp/bert-base-uncased_nli_qnli_houlsby	ah	bert-base-uncased	nli	qnli
@ukp/bert-base-multilingual-cased-ht-wiki_houlsby	ah	bert-base-multilingual-cased	ht	wiki
@ukp/roberta-base_qa_squad1_pfeiffer	ah	roberta-base	qa	squad1
@ukp/bert-base-multilingual-cased-mi-wiki_pfeiffer	ah	bert-base-multilingual-cased	mi	wiki
@ukp/bert-base-multilingual-cased_lv_wiki_pfeiffer	ah	bert-base-multilingual-cased	lv	wiki
@ukp/xlm-roberta-base-ht-wiki_pfeiffer	ah	xlm-roberta-base	ht	wiki
@ukp/bert-base-uncased_qa_squad2_houlsby	ah	bert-base-uncased	qa	squad2
@ukp/bert-base-multilingual-cased-ilo-wiki_pfeiffer	ah	bert-base-multilingual-cased	ilo	wiki
@ukp/bert-base-multilingual-cased-my-wiki_houlsby	ah	bert-base-multilingual-cased	my	wiki
@ukp/gpt2_nli_multinli_houlsby	ah	gpt2	nli	multinli
@ukp/roberta-base-sick_pfeiffer	ah	roberta-base	nli	sick
@ukp/roberta-large-sts_b_houlsby	ah	roberta-large	sts	sts-b
@ukp/bert-base-multilingual-cased-ilo-wiki_houlsby	ah	bert-base-multilingual-cased	ilo	wiki
@ukp/bert-base-multilingual-cased-xmf-wiki_pfeiffer_relu	ah	bert-base-multilingual-cased	xmf	wiki
@ukp/bert-base-multilingual-cased-ja-wiki_houlsby	ah	bert-base-multilingual-cased	ja	wiki
@ukp/bert-base-multilingual-cased-fi-wiki_houlsby	ah	bert-base-multilingual-cased	fi	wiki
@ukp/roberta-base-mrpc_pfeiffer	ah	roberta-base	sts	mrpc
@ukp/roberta-base-scitail_pfeiffer	ah	roberta-base	nli	scitail
@ukp/bert-base-multilingual-cased-en-wiki_pfeiffer	ah	bert-base-multilingual-cased	en	wiki
@ukp/bert-base-multilingual-cased-ko-wiki_pfeiffer	ah	bert-base-multilingual-cased	ko	wiki
@ukp/gpt2_sts_sts-b_pfeiffer	ah	gpt2	sts	sts-b
@ukp/bert-base-uncased-cb_pfeiffer	ah	bert-base-uncased	nli	cb
@ukp/distilbert-base-uncased_qa_boolq_pfeiffer	ah	distilbert-base-uncased	qa	boolq
@ukp/xlm-roberta-large-zh-wiki_pfeiffer	ah	xlm-roberta-large	zh	wiki
